RadlexID	Common ID	Name
RID2406_RID2396	4013748	distal phalanx of third finger
RID2406_RID2398	4013743	distal phalanx of fourth finger
RID2406_RID2400	4013740	distal phalanx of fifth finger
RID2408_RID2394	4014792	proximal interphalangeal joint of second finger
RID2408_RID2396	4014794	proximal interphalangeal joint of third finger
RID2408_RID2398	4014790	proximal interphalangeal joint of fourth finger
RID2408_RID2400	4014788	proximal interphalangeal joint of fifth finger
RID2418_RID2394	4013735	distal interphalangeal joint of second finger
RID2418_RID2396	4013737	distal interphalangeal joint of third finger
RID2418_RID2398	4013733	distal interphalangeal joint of fourth finger
RID2418_RID2400	4013731	distal interphalangeal joint of fifth finger
RID2429	4013795	extensor indicis tendon
RID2468	4013613	chest wall
RID2473	4015283	sternum
RID2476	4014488	manubrium
RID2485	4013996	inguinal canal
RID2493	4014700	pectoralis major muscle
RID2496	4014701	pectoralis minor muscle
RID2500	4014849	rhomboideus major muscle
RID2501	4014850	rhomboideus minor muscle
RID2502	4015229	serratus anterior muscle
RID2504	4015420	teres major muscle
RID2507	4013403	pelvis
RID2509	4015204	sacrum
RID2524	4013626	coccyx
RID2531	4013956	ilium
RID2545	4014023	ischium
RID2553	4014812	pubis
RID25606	4015054	right obturator nerve
RID25607	4014283	left obturator nerve
RID2564	4013438	acetabulum
RID2567	4013437	acetabular notch
RID25678	4015161	right superior gluteal nerve
RID25679	4014390	left superior gluteal nerve
RID25680	4014983	right inferior gluteal nerve
RID25681	4014212	left inferior gluteal nerve
RID25684	4015130	right sciatic nerve
RID25685	4014359	left sciatic nerve
RID2594	4015363	symphysis pubis
RID2625	4014806	psoas major muscle
RID2626	4014807	psoas minor muscle
RID2629	4013901	gluteus maximus muscle
RID2630	4013902	gluteus medius muscle
RID2631	4013903	gluteus minimus muscle
RID2632	4014727	piriformis muscle
RID2636	4014625	obturator externus muscle
RID2638	4014457	lower extremity
RID2639	4013935	hip
RID2640	4013936	hip joint
RID2644	4013436	acetabular labrum
RID2650	4013952	iliofemoral ligament
RID2651	4014022	ischiofemoral ligament
RID2652	4014813	pubofemoral ligament
RID26562	4014896	right cingulate gyrus
RID26563	4014126	left cingulate gyrus
RID26566	4014972	right hippocampus
RID26567	4014201	left hippocampus
RID2660	4015429	thigh
RID2662	4013822	femur
RID2664	4013918	head of femur
RID2668	4013820	femoral neck
RID2671	4013910	greater trochanter of femur
RID26715	4015221	segment of medial geniculate body
RID2673	4014437	lesser trochanter of femur
RID26776	4015019	right mammillary body
RID26777	4014248	left mammillary body
RID2682	4014055	lateral epicondyle of femur
RID2683	4014509	medial epicondyle of femur
RID2686	4014047	lateral condyle of femur
RID2688	4014502	medial condyle of femur
RID2691	4013474	anterior compartment of thigh
RID2692	4014501	medial compartment of thigh
RID2696	4015207	sartorius muscle
RID2698	4014837	rectus femoris muscle
RID2699	4015519	vastus lateralis muscle
RID270	4013405	female genital system
RID2700	4015520	vastus medialis muscle
RID2702	4015518	vastus intermedius muscle
RID2703	4015417	tensor fascia lata muscle
RID2707	4014699	pectineus muscle
RID2708	4013444	adductor longus muscle
RID2709	4013904	gracilis muscle
RID2710	4013442	adductor brevis muscle
RID2711	4013445	adductor magnus muscle
RID2714	4013543	biceps femoris muscle
RID2717	4015227	semitendinosus muscle
RID2718	4015223	semimembranosus muscle
RID2723	4013955	iliotibial band
RID2743	4014028	knee
RID2745	4013813	fabella
RID2746	4014697	patella
RID2751	4014029	knee joint
RID2763	4014064	lateral meniscus
RID27686	4015056	right oculomotor nerve
RID27687	4014285	left oculomotor nerve
RID27688	4015187	right trochlear nerve
RID27689	4014416	left trochlear nerve
RID27692	4014852	right abducens nerve
RID27693	4014081	left abducens nerve
RID27694	4014938	right facial nerve
RID27695	4014167	left facial nerve
RID27696	4015200	right vestibulocochlear nerve
RID27697	4014429	left vestibulocochlear nerve
RID27698	4014964	right glossopharyngeal nerve
RID27699	4014193	left glossopharyngeal nerve
RID27700	4015196	right vagus nerve
RID27701	4014425	left vagus nerve
