CommonID,PreferredTerm,RadlexID
   4013872,frontal horn of left lateral ventricle,RID13799
   4013873,frontal horn of right lateral ventricle,RID13798
   4013874,frontal lobe,RID6440
   4013875,frontal sinus,RID9555
   4013876,fundus of uterus,RID303
   4013877,gallbladder,RID187
   4013878,gastric cardia,RID115
   4013879,gastric fundus,RID116
   4013880,gastric lymph node group,RID31919
   4013881,gastrocnemius muscle,RID2920
   4013882,gastrocolic ligament,RID417
   4013883,gastroduodenal artery,RID910
   4013884,gastroesophageal junction,RID96
   4013885,gastrohepatic ligament,RID413
   4013886,gastrohepatic ligament node,RID453
   4013887,gastrointestinal tract,RID94
   4013888,genioglossus muscle,RID9894
   4013889,geniohyoid muscle,RID7517
   4013890,genital system of male human body,RID342
   4013891,genu of corpus callosum,RID6918
   4013892,genu of internal capsule,RID17025
   4013893,genu of left internal capsule,RID17027
   4013894,genu of right internal capsule,RID17026
   4013895,glenohumeral joint,RID1905
   4013896,glenohumeral ligament,RID1916
   4013897,glenoid labrum,RID1909
   4013898,globe,RID9592
   4013899,globus pallidus,RID21016
   4013900,glossopharyngeal nerve,RID12167
   4013901,gluteus maximus muscle,RID2629
   4013902,gluteus medius muscle,RID2630
   4013903,gluteus minimus muscle,RID2631
   4013904,gracilis muscle,RID2709
   4013905,great auricular nerve,RID7196
   4013906,great cerebral vein,RID1132
   4013907,great pancreatic artery,RID923
   4013908,greater omentum,RID430
   4013909,greater saphenous vein,RID1197
   4013910,greater trochanter of femur,RID2671
   4013911,greater trochanter of left femur,RID39755
   4013912,greater trochanter of right femur,RID39754
   4013913,greater tuberosity of humerus,RID1973
   4013914,hamate,RID2198
   4013915,hand,RID2318
   4013916,handle of malleus,RID10165
   4013917,head,RID9080
   4013918,head of femur,RID2664
   4013919,head of fibula,RID2872
   4013920,head of humerus,RID29093
   4013921,head of left humerus,RID39922
   4013922,head of malleus,RID10166
   4013923,head of pancreas,RID171
   4013924,head of radius,RID28590
   4013925,head of right humerus,RID39921
   4013926,head of stapes,RID10153
   4013927,head of ulna,RID42286
   4013928,heart,RID1385
   4013929,hemidiaphragm,RID28909
   4013930,hepatic flexure of colon,RID158
   4013931,hepatic vein,RID1179
   4013932,hepatoduodenal ligament,RID415
   4013933,hepatopancreatic ampulla,RID45811
   4013934,hepatoportal lymph node group,RID31997
   4013935,hip,RID2639
   4013936,hip joint,RID2640
   4013937,hippocampus,RID6529
   4013938,hook of hamate,RID2200
   4013939,horizontal fissure of right lung,RID43258
   4013940,humerus,RID1971
   4013941,hyoglossus muscle,RID9895
   4013942,hyoid bone,RID7527
   4013943,hypoglossal nerve,RID12230
   4013944,hypopharynx,RID10021
   4013944,hypopharynx,RID10021
   4013946,hypothalamus,RID6639
   4013947,ileocecal valve,RID153
   4013948,ileocolic artery,RID934
   4013949,ileocolic vein,RID38291
   4013950,ileum,RID150
   4013951,iliocostalis cervicis,RID32262
   4013952,iliofemoral ligament,RID2650
   4013953,iliolumbar artery,RID948
   4013954,iliopsoas muscle,RID30906
   4013955,iliotibial band,RID2723
   4013956,ilium,RID2531
   4013957,incisor tooth,RID9127
   4013958,incus,RID10157
   4013959,inferior cerebellar peduncle,RID6893
   4013960,inferior cerebellar vein,RID36677
   4013961,inferior cerebral vein,RID36152
   4013962,inferior colliculus,RID6784
   4013963,inferior constrictor muscle,RID7556
   4013964,inferior epigastric artery,RID13091
   4013965,inferior frontal sulcus,RID6459
   4013966,inferior glenohumeral ligament,RID1917
   4013967,inferior gluteal artery,RID950
   4013968,inferior gluteal nerve,RID7322
   4013969,inferior internal parietal artery,RID659
   4013970,inferior longitudinal muscle of tongue,RID9901
   4013971,inferior mesenteric artery,RID939
   4013972,inferior mesenteric vein,RID1211
   4013973,inferior nasal concha,RID28571
   4013974,inferior nasal meatus,RID9537
   4013975,inferior nasal turbinate,RID10051
   4013976,inferior oblique muscle,RID9709
   4013977,inferior ophthalmic vein,RID1117
   4013978,inferior orbital fissure,RID9591
   4013979,inferior pancreatic artery,RID38122
   4013980,inferior pancreaticoduodenal artery,RID928
   4013981,inferior petrosal sinus,RID1093
   4013982,inferior phrenic artery,RID38762
   4013983,inferior pulmonary ligament lymph node,RID1490
   4013984,inferior rectus muscle,RID9702
   4013985,inferior sagittal sinus,RID1131
